711 Ocean Drive,Joseph M. Newman,"Edmond O'Brien, Joanne Dru, Dorothy Patrick",Crime drama,Columbia
Abbott and Costello in the Foreign Legion,Charles Lamont,"Abbott and Costello, Patricia Medina",Comedy,Universal
Across the Badlands,Fred F. Sears,"Charles Starrett, Smiley Burnette",Western,Columbia
The Admiral Was a Lady,Albert S. Rogell,"Edmond O'Brien, Wanda Hendrix, Steve Brodie",Comedy,United Artists
All About Eve,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, Gary Merrill, Celeste Holm, George Sanders, Hugh Marlowe, Marilyn Monroe",Drama,20th Century Fox; Academy Award for Best Picture; 12 nominations
Ambush,Sam Wood,"Robert Taylor, John Hodiak, Arlene Dahl",Western,MGM. Wood's last film
American Guerrilla in the Philippines,Fritz Lang,"Tyrone Power, Micheline Presle",War,20th Century Fox
Annie Get Your Gun,George Sidney,"Betty Hutton, Howard Keel",Musical,MGM. Based on 1946 musical; 4 Oscar nominations
The Arizona Cowboy,R. G. Springsteen,"Rex Allen, Teala Loring",Western,Republic
Arizona Territory,Wallace Fox,"Whip Wilson, Andy Clyde, Nancy Saunders",Western,Monogram
Armored Car Robbery,Richard Fleischer,"Charles McGraw, Adele Jergens, William Talman",Film noir,RKO. Among first heist films
The Asphalt Jungle,John Huston,"Sterling Hayden, Louis Calhern, Sam Jaffe, James Whitmore, Marilyn Monroe",Film noir,MGM; based on novel of same name; 4 Oscar nominations
At War with the Army,Hal Walker,"Dean Martin, Jerry Lewis, Polly Bergen",Musical comedy,"Paramount; first starring roles for Martin and Lewis, Bergen"
The Avengers,John H. Auer,"Adele Mara, John Carroll",Adventure,Republic
Backfire,Vincent Sherman,"Edmond O'Brien, Virginia Mayo, Gordon MacRae",Crime thriller,Warner Bros.
The Bandit Queen,William Berke,"Barbara Britton, Willard Parker, Phillip Reed",Western,Lippert
The Baron of Arizona,Samuel Fuller,"Vincent Price, Ellen Drew",Western,Lippert
Barricade,Peter Godfrey,"Ruth Roman, Raymond Massey",Drama,Warner Bros.
Beauty on Parade,Lew Landers,"Robert Hutton, Ruth Warrick, Lola Albright",Drama,Columbia
Belle of Old Mexico,R. G. Springsteen,"Estelita Rodriguez, Robert Rockwell",Musical/Comedy,Republic Pictures
Bells of Coronado,William Witney,"Roy Rogers, Dale Evans",Western,Republic
Between Midnight and Dawn,Gordon Douglas,"Edmond O'Brien, Gale Storm, Mark Stevens, Gale Robbins",Crime thriller,Columbia
Beware of Blondie,Edward Bernds,"Penny Singleton, Arthur Lake",Comedy,Columbia. Last of 28-film series
Beyond the Purple Hills,John English,"Gene Autry, Jo-Carroll Dennison",Western,Columbia
The Big Hangover,Norman Krasna,"Elizabeth Taylor, Van Johnson",Comedy,MGM
The Big Lift,George Seaton,"Montgomery Clift, Paul Douglas, Cornell Borchers",War,20th Century Fox. Shot in Berlin
Black Hand,Richard Thorpe,"Gene Kelly, Teresa Celli",Crime drama,MGM
Black Jack,Julien Duvivier,"George Sanders, Herbert Marshall, Patricia Roc",Adventure,Independent
The Black Rose,Henry Hathaway,"Tyrone Power, Orson Welles",Historical,20th Century Fox. U.S./U.K. co-production
The Blazing Sun,John English,"Gene Autry, Lynne Roberts, Anne Gwynne",Western,Columbia
The Blonde Bandit,Harry Keller,"Dorothy Patrick, Gerald Mohr",Crime,Republic
Blonde Dynamite,William Beaudine,"Leo Gorcey, Huntz Hall, Adele Jergens",Comedy,Monogram
Blondie's Hero,Edward Bernds,"Penny Singleton, Arthur Lake",Comedy,Columbia
Blue Grass of Kentucky,William Beaudine,"Bill Williams, Jane Nigh, Ralph Morgan",Western,Monogram
Blues Busters,William Beaudine,"Bowery Boys, Adele Jergens",Comedy,Monogram
Border Outlaws,Richard Talmadge,"Spade Cooley, Maria Hart",Western,Eagle-Lion
Borderline,William A. Seiter,"Fred MacMurray, Claire Trevor",Film noir,Universal
Border Rangers,William Berke,"Don ""Red"" Barry, Robert Lowery, Pamela Blake",Western,Lippert
Border Treasure,George Archainbaud,"Tim Holt, Jane Nigh",Western,RKO
Born to Be Bad,Nicholas Ray,"Joan Fontaine, Robert Ryan",Drama,RKO. Based on novel All Kneeling
Born Yesterday,George Cukor,"William Holden, Judy Holliday, Broderick Crawford",Comedy,Columbia. Oscar for Holliday; remade in 1993
The Boy from Indiana,John Rawlins,"Lon McCallister, Lois Butler, Billie Burke",Sports,Eagle-Lion
Branded,Rudolph Maté,"Alan Ladd, Mona Freeman, Charles Bickford",Western,Paramount; Remake of 1931 film
The Breaking Point,Michael Curtiz,"John Garfield, Patricia Neal",Film noir,Warner Bros. Based on novel To Have and Have Not
Breakthrough,Lewis Seiler,"David Brian, John Agar, Frank Lovejoy",War,Warner Bros.
Bright Leaf,Michael Curtiz,"Gary Cooper, Lauren Bacall, Patricia Neal",Drama,Warner Bros. Based on 1949 novel
Broken Arrow,Delmer Daves,"James Stewart, Jeff Chandler, Debra Paget, Will Geer",Western,20th Century Fox. 3 Oscar nominations
Buccaneer's Girl,Frederick de Cordova,Yvonne De Carlo,Adventure,Universal
Bunco Squad,Herbert I. Leeds,"Robert Sterling, Joan Dixon",Crime,RKO
Caged,John Cromwell,"Eleanor Parker, Agnes Moorehead, Lee Patrick, Betty Garde, Hope Emerson, Sheila MacRae",Film noir,Warner Bros. From story Women Without Men; 3 Oscar nominations
California Passage,Joseph Kane,"Forrest Tucker, Adele Mara",Western,Republic
Call of the Klondike,Frank McDonald,"Kirby Grant, Anne Gwynne, Lynne Roberts",Western,Monogram
"Captain Carey, U.S.A.",Mitchell Leisen,"Alan Ladd, Wanda Hendrix",Film noir,"Paramount. Oscar for Best Song (""Mona Lisa"")"
Captain China,Lewis R. Foster,"John Payne, Gail Russell",Adventure,Paramount
Captive Girl,William Berke,"Johnny Weissmuller, Buster Crabbe",Adventure,Columbia
The Capture,John Sturges,"Lew Ayres, Teresa Wright",Drama,RKO
Cargo to Capetown,Earl McEvoy,"Broderick Crawford, John Ireland, Ellen Drew",Film noir,Columbia
The Cariboo Trail,Edwin L. Marin,"Randolph Scott, Karin Booth, George ""Gabby"" Hayes",Western,20th Century Fox
Chain Gang,Lew Landers,"Douglas Kennedy, Marjorie Lord",Crime,Columbia
Chain Lightning,Stuart Heisler,"Humphrey Bogart, Eleanor Parker, Raymond Massey",Drama,Warner Bros.
Champagne for Caesar,Richard Whorf,"Ronald Colman, Celeste Holm, Art Linkletter, Vincent Price, Barbara Britton",Comedy,United Artists
Cheaper by the Dozen,Walter Lang,"Clifton Webb, Myrna Loy",Comedy,20th Century Fox. Based on 1948 novel; sequel in 1952; remade in 2003
Cherokee Uprising,Lewis D. Collins,"Whip Wilson, Andy Clyde, Lois Hall",Western,Monogram
Cinderella,3 directors,Ilene Woods,Animation,Disney
Code of the Silver Sage,Fred C. Brannon,"Allan Lane, Kay Christopher",Western,Republic
Colorado Ranger,Thomas Carr,"James Ellison, Russell Hayden, Julie Adams",Western,Lippert
Colt .45,Edwin L. Marin,"Randolph Scott, Ruth Roman",Western,Warner Bros.
Comanche Territory,George Sherman,"Maureen O'Hara, Macdonald Carey",Western,Universal
Convicted,Henry Levin,"Glenn Ford, Broderick Crawford",Film noir,Columbia. Based on play The Criminal Code
Copper Canyon,John Farrow,"Ray Milland, Hedy Lamarr, Mona Freeman",Western,Paramount
Counterspy Meets Scotland Yard,Seymour Friedman,"Howard St. John, Ron Randell, Amanda Blake",Crime,Columbia
County Fair,William Beaudine,"Rory Calhoun, Jane Nigh",Drama,Monogram
Covered Wagon Raid,R. G. Springsteen,"Allan Lane, Lyn Thomas",Western,Republic
Cow Town,John English,"Gene Autry, Gail Davis",Western,Columbia
Crisis,Richard Brooks,"Cary Grant, José Ferrer, Paula Raymond",Film-noir,MGM. Based on short story The Doubters
Crooked River,Thomas Carr,"James Ellison, Russell Hayden, Julie Adams",Western,Lippert
Cry Murder,Jack Glenn,"Carole Mathews, Jack Lord",Crime,Film Classics
Curtain Call at Cactus Creek,Charles Lamont,"Donald O'Connor, Walter Brennan, Gale Storm",Comedy,Universal
Customs Agent,Seymour Friedman,"William Eythe, Marjorie Reynolds",Crime,Columbia
Cyrano de Bergerac,Michael Gordon,"José Ferrer, Mala Powers",Adventure,United Artists. Oscar for Best Actor
D.O.A.,Rudolph Maté,"Edmond O'Brien, Pamela Britton, Luther Adler, Beverly Garland",Film noir,United Artists; remade in 1988
Dakota Lil,Lesley Selander,"George Montgomery, Marie Windsor",Western,20th Century Fox
Dallas,Stuart Heisler,"Gary Cooper, Ruth Roman, Raymond Massey, Steve Cochran, Reed Hadley",Western,Warner Bros.
The Daltons' Women,Thomas Carr,"Lash LaRue, Jack Holt, Pamela Blake",Western,Realart
The Damned Don't Cry,Vincent Sherman,"Joan Crawford, David Brian",Film noir,Warner Bros. Based on story by Gertrude Walker
Dark City,William Dieterle,"Charlton Heston, Lizabeth Scott",Film noir,Paramount. Heston's first film
The Daughter of Rosie O'Grady,David Butler,"June Haver, Gordon MacRae, Debbie Reynolds, James Barton, Gene Nelson",Musical,Warner Bros.
"David Harding, Counterspy",Ray Nazarro,"Willard Parker, Audrey Long",Film noir,Columbia
"Davy Crockett, Indian Scout",Lew Landers,"George Montgomery, Ellen Drew",Western,United Artists
